127.0.0.1 - - [12/Sep/2024:10:19:40 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Sep/2024:10:19:41 +0900] "GET /04_hklogin_MVC1/api.jsp HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [12/Sep/2024:10:19:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Sep/2024:10:20:11 +0900] "GET /04_hklogin_MVC1/registform.jsp HTTP/1.1" 200 2876
0:0:0:0:0:0:0:1 - - [12/Sep/2024:10:20:11 +0900] "GET /04_hklogin_MVC1/css/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2024:10:20:44 +0900] "GET /04_hklogin_MVC1/registform.jsp HTTP/1.1" 200 3259
0:0:0:0:0:0:0:1 - - [12/Sep/2024:10:21:24 +0900] "GET /04_hklogin_MVC1/registform.jsp HTTP/1.1" 200 3265
0:0:0:0:0:0:0:1 - - [12/Sep/2024:10:21:41 +0900] "GET /04_hklogin_MVC1/registform.jsp HTTP/1.1" 200 3265
0:0:0:0:0:0:0:1 - - [12/Sep/2024:10:21:42 +0900] "GET /04_hklogin_MVC1/registform.jsp HTTP/1.1" 200 3265
0:0:0:0:0:0:0:1 - - [12/Sep/2024:10:24:23 +0900] "GET /04_hklogin_MVC1/registform.jsp HTTP/1.1" 200 6144
0:0:0:0:0:0:0:1 - - [12/Sep/2024:10:29:56 +0900] "GET /04_hklogin_MVC1/registform.jsp HTTP/1.1" 200 6174
0:0:0:0:0:0:0:1 - - [12/Sep/2024:10:42:33 +0900] "GET /04_hklogin_MVC1/registform.jsp HTTP/1.1" 200 6359
0:0:0:0:0:0:0:1 - - [12/Sep/2024:10:57:23 +0900] "GET /04_hklogin_MVC1/ HTTP/1.1" 200 1437
0:0:0:0:0:0:0:1 - - [12/Sep/2024:10:57:23 +0900] "GET /04_hklogin_MVC1/js/cookiefunc.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2024:10:57:23 +0900] "GET /04_hklogin_MVC1/css/loginpage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2024:10:57:27 +0900] "POST /04_hklogin_MVC1/userController.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Sep/2024:10:57:27 +0900] "GET /04_hklogin_MVC1/user_main.jsp HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [12/Sep/2024:10:57:28 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=userinfo HTTP/1.1" 200 2207
0:0:0:0:0:0:0:1 - - [12/Sep/2024:10:57:33 +0900] "GET /04_hklogin_MVC1/user_main.jsp HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [12/Sep/2024:10:57:35 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=registform HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Sep/2024:10:57:35 +0900] "GET /04_hklogin_MVC1/registform.jsp HTTP/1.1" 200 6254
0:0:0:0:0:0:0:1 - - [12/Sep/2024:10:57:45 +0900] "GET /04_hklogin_MVC1/registform.jsp HTTP/1.1" 200 6254
0:0:0:0:0:0:0:1 - - [12/Sep/2024:10:57:45 +0900] "GET /04_hklogin_MVC1/registform.jsp HTTP/1.1" 200 6254
0:0:0:0:0:0:0:1 - - [12/Sep/2024:10:59:53 +0900] "GET /04_hklogin_MVC1/ HTTP/1.1" 200 1437
0:0:0:0:0:0:0:1 - - [12/Sep/2024:10:59:54 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=registform HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Sep/2024:10:59:54 +0900] "GET /04_hklogin_MVC1/registform.jsp HTTP/1.1" 200 6716
0:0:0:0:0:0:0:1 - - [12/Sep/2024:11:00:09 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=idchk&id=wprzl111 HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [12/Sep/2024:11:00:12 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=idchk&id=wprzl111 HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [12/Sep/2024:11:00:17 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=idchk&id=wprzl111 HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [12/Sep/2024:11:02:19 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=idchk&id=wprzl111 HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [12/Sep/2024:11:02:35 +0900] "GET /04_hklogin_MVC1/ HTTP/1.1" 200 1437
0:0:0:0:0:0:0:1 - - [12/Sep/2024:11:02:37 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=registform HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Sep/2024:11:02:37 +0900] "GET /04_hklogin_MVC1/registform.jsp HTTP/1.1" 200 6716
0:0:0:0:0:0:0:1 - - [12/Sep/2024:11:02:44 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=idchk&id=wprzl123 HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [12/Sep/2024:11:04:56 +0900] "GET /04_hklogin_MVC1/registform.jsp HTTP/1.1" 200 6731
0:0:0:0:0:0:0:1 - - [12/Sep/2024:11:04:56 +0900] "GET /04_hklogin_MVC1/registform.jsp HTTP/1.1" 200 6731
0:0:0:0:0:0:0:1 - - [12/Sep/2024:11:04:56 +0900] "GET /04_hklogin_MVC1/registform.jsp HTTP/1.1" 200 6731
0:0:0:0:0:0:0:1 - - [12/Sep/2024:11:04:56 +0900] "GET /04_hklogin_MVC1/registform.jsp HTTP/1.1" 200 6731
0:0:0:0:0:0:0:1 - - [12/Sep/2024:11:05:13 +0900] "GET /04_hklogin_MVC1/registform.jsp HTTP/1.1" 200 6731
0:0:0:0:0:0:0:1 - - [12/Sep/2024:11:05:50 +0900] "GET /04_hklogin_MVC1/registform.jsp HTTP/1.1" 200 6716
0:0:0:0:0:0:0:1 - - [12/Sep/2024:11:05:55 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=idchk&id=ddsdasdsdasd HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [12/Sep/2024:11:09:53 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=idchk&id=ddsdasdsdasd HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [12/Sep/2024:11:13:24 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=idchk&id=ddsdasdsdasd HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [12/Sep/2024:11:13:46 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=idchk&id=ddsdasdsdasd HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [12/Sep/2024:11:13:50 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=idchk&id=ddsdasdsdasd HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [12/Sep/2024:11:14:24 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=idchk&id=ddsdasdsdasd HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:18:51 +0900] "GET /04_hklogin_MVC1/ HTTP/1.1" 200 1437
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:18:56 +0900] "POST /04_hklogin_MVC1/userController.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:18:56 +0900] "GET /04_hklogin_MVC1/user_main.jsp HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:18:57 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=userinfo HTTP/1.1" 200 2207
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:18:59 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=userinfo&id=wprzl258 HTTP/1.1" 200 2271
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:21:08 +0900] "GET /04_hklogin_MVC1/userRoleForm.jsp HTTP/1.1" 500 2741
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:21:10 +0900] "GET /04_hklogin_MVC1/userRoleForm.jsp HTTP/1.1" 500 2741
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:21:10 +0900] "GET /04_hklogin_MVC1/userRoleForm.jsp HTTP/1.1" 500 2741
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:21:10 +0900] "GET /04_hklogin_MVC1/userRoleForm.jsp HTTP/1.1" 500 2741
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:21:11 +0900] "GET /04_hklogin_MVC1/userRoleForm.jsp HTTP/1.1" 500 2741
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:21:11 +0900] "GET /04_hklogin_MVC1/userRoleForm.jsp HTTP/1.1" 500 2741
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:21:45 +0900] "GET /04_hklogin_MVC1/userRoleForm.jsp HTTP/1.1" 500 2741
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:23:05 +0900] "GET /04_hklogin_MVC1/userList.jsp HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:23:08 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=getAllUserList HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:23:11 +0900] "GET /04_hklogin_MVC1/userList.jsp HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:23:35 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=getUserList HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:23:37 +0900] "GET /04_hklogin_MVC1/userList.jsp HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:23:38 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:23:38 +0900] "GET /04_hklogin_MVC1/index.jsp HTTP/1.1" 200 1437
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:23:40 +0900] "GET /04_hklogin_MVC1/userList.jsp HTTP/1.1" 500 1437
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:23:55 +0900] "POST /04_hklogin_MVC1/userController.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:23:55 +0900] "GET /04_hklogin_MVC1/user_main.jsp HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:23:59 +0900] "GET /04_hklogin_MVC1/userList.jsp HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:24:00 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=getUserList HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:36:47 +0900] "GET /04_hklogin_MVC1/userRoleForm.jsp HTTP/1.1" 500 1437
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:36:50 +0900] "GET /04_hklogin_MVC1/userRoleForm.jsp HTTP/1.1" 500 1437
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:36:50 +0900] "GET /04_hklogin_MVC1/userRoleForm.jsp HTTP/1.1" 500 1437
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:37:03 +0900] "GET /04_hklogin_MVC1/userList.jsp HTTP/1.1" 500 1437
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:37:05 +0900] "GET /04_hklogin_MVC1/userList.jsp HTTP/1.1" 500 1437
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:37:05 +0900] "GET /04_hklogin_MVC1/userList.jsp HTTP/1.1" 500 1437
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:37:12 +0900] "GET /04_hklogin_MVC1/userList.jsp HTTP/1.1" 500 1437
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:37:16 +0900] "POST /04_hklogin_MVC1/userController.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:37:16 +0900] "GET /04_hklogin_MVC1/user_main.jsp HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:40:18 +0900] "GET /04_hklogin_MVC1/userList.jsp HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:41:07 +0900] "GET /04_hklogin_MVC1/admin_main.jsp HTTP/1.1" 200 1399
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:41:10 +0900] "GET /04_hklogin_MVC1/admin_main.jsp HTTP/1.1" 200 1399
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:41:39 +0900] "GET /04_hklogin_MVC1/userList.jsp HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:41:44 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=getAllUserList HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:41:46 +0900] "GET /04_hklogin_MVC1/userList.jsp HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:41:56 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=getAllUserList HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:41:59 +0900] "GET /04_hklogin_MVC1/userList.jsp HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:45:46 +0900] "GET /04_hklogin_MVC1/userList.jsp HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:45:48 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=getAllUserList HTTP/1.1" 500 4512
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:45:50 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=getAllUserList HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:45:50 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=getAllUserList HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:45:51 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=getAllUserList HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:45:52 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=getAllUserList HTTP/1.1" 500 4512
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:45:53 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=getAllUserList HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:45:55 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=getAllUserList HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:45:56 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=getAllUserList HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:45:57 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=getAllUserList HTTP/1.1" 500 4512
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:46:53 +0900] "GET /04_hklogin_MVC1/userList.jsp HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:46:55 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=getAllUserList HTTP/1.1" 500 7680
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:46:58 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=getAllUserList HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:46:59 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=getAllUserList HTTP/1.1" 500 7680
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:46:59 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=getAllUserList HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:47:02 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=getAllUserList HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:47:03 +0900] "GET /04_hklogin_MVC1/userList.jsp HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:47:05 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=getAllUserList HTTP/1.1" 500 7680
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:53:44 +0900] "GET /04_hklogin_MVC1/ HTTP/1.1" 200 1437
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:53:49 +0900] "POST /04_hklogin_MVC1/userController.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:53:49 +0900] "GET /04_hklogin_MVC1/user_main.jsp HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:54:04 +0900] "GET /04_hklogin_MVC1/userList.jsp HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:54:05 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=getAllUserList HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:54:05 +0900] "GET /04_hklogin_MVC1/admin_main.jsp HTTP/1.1" 200 1399
0:0:0:0:0:0:0:1 - - [12/Sep/2024:13:54:07 +0900] "GET /04_hklogin_MVC1/userList.jsp HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [12/Sep/2024:14:07:35 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=getAllUserList HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Sep/2024:14:07:35 +0900] "GET /04_hklogin_MVC1/admin_main.jsp HTTP/1.1" 200 1399
0:0:0:0:0:0:0:1 - - [12/Sep/2024:14:07:35 +0900] "GET /04_hklogin_MVC1/userList.jsp HTTP/1.1" 500 1437
0:0:0:0:0:0:0:1 - - [12/Sep/2024:14:07:45 +0900] "POST /04_hklogin_MVC1/userController.jsp HTTP/1.1" 302 -
